ticket_id,subject,category,priority,status,created_at,resolved_at,closed_at,assignee,team,customer,contact_channel,sla_breached,satisfaction_score
SUP-2000000,Data Export/Import - TechStart Inc,Data Export/Import,Low,Closed,2024-01-08 20:06:23,2024-01-12 07:07:25,2024-01-12 07:46:25,laura.smith,Technical Team,TechStart Inc,Portal,false,
SUP-2000001,Account Management - Individual,Account Management,Low,Reopened,2024-01-01 13:28:32,2024-01-02 14:02:37,,laura.smith,Account Team,Individual,Portal,false,
SUP-2000002,Billing Issue - TechStart Inc,Billing Issue,Medium,Closed,2024-01-04 07:23:23,2024-01-05 04:24:08,2024-01-05 05:22:08,jennifer.wu,Finance Support,TechStart Inc,Chat,false,6.9
SUP-2000003,Account Management - UniServices,Account Management,High,Closed,2024-01-10 14:01:31,2024-01-11 10:52:06,2024-01-11 11:18:06,laura.smith,Account Team,UniServices,Phone,false,7.2
SUP-2000004,Performance Issue - CityCouncil,Performance Issue,Medium,Closed,2024-01-16 09:28:17,2024-01-18 07:11:18,2024-01-18 07:59:18,sofia.moreau,Engineering,CityCouncil,Portal,false,6.5
SUP-2000005,Feature Request - Individual,Feature Request,Medium,Closed,2024-01-05 11:26:18,2024-01-06 01:19:55,2024-01-06 01:43:55,alex.chen,Product Team,Individual,Phone,false,8.2
SUP-2000006,Integration Problem - Acme Corp,Integration Problem,Medium,Escalated,2024-01-26 16:57:45,2024-01-31 15:07:21,,maya.patel,Integration Team,Acme Corp,Email,false,
SUP-2000007,Feature Request - Global Finance,Feature Request,High,Closed,2024-01-10 10:39:58,2024-01-10 18:16:49,2024-01-10 18:36:49,maya.patel,Product Team,Global Finance,Chat,false,4.6
SUP-2000008,Technical Support - RetailCo,Technical Support,Medium,Closed,2024-01-03 09:45:30,2024-01-06 05:53:34,2024-01-06 06:29:34,thomas.berg,Technical Team,RetailCo,Email,false,5.6
SUP-2000009,Billing Issue - Acme Corp,Billing Issue,Critical,Closed,2024-01-16 09:06:18,2024-01-16 11:41:51,2024-01-16 12:23:51,maya.patel,Finance Support,Acme Corp,Portal,false,6.3
SUP-2000010,Billing Issue - StartupXYZ,Billing Issue,High,Closed,2024-01-09 15:04:46,2024-01-10 00:25:10,2024-01-10 00:32:10,sofia.moreau,Finance Support,StartupXYZ,Portal,false,7.6
SUP-2000011,Billing Issue - RetailCo,Billing Issue,Medium,Closed,2024-01-12 11:40:07,2024-01-13 15:02:05,2024-01-13 15:58:05,carlos.silva,Finance Support,RetailCo,Email,false,6.6
SUP-2000012,Data Export/Import - StartupXYZ,Data Export/Import,Low,Closed,2024-01-23 20:58:10,2024-01-25 15:28:28,2024-01-25 15:45:28,alex.chen,Technical Team,StartupXYZ,Chat,false,7.5
SUP-2000013,Technical Support - RetailCo,Technical Support,Medium,Closed,2024-01-04 08:01:19,2024-01-05 11:57:13,2024-01-05 12:10:13,maya.patel,Technical Team,RetailCo,Chat,false,
SUP-2000014,Data Export/Import - MedGroup,Data Export/Import,Low,Closed,2024-01-05 08:17:46,2024-01-10 04:13:48,2024-01-10 04:59:48,alex.chen,Technical Team,MedGroup,Chat,false,6.9
SUP-2000015,Billing Issue - Global Finance,Billing Issue,Low,Closed,2024-01-22 13:31:15,2024-02-01 22:39:04,2024-02-01 23:04:04,thomas.berg,Finance Support,Global Finance,Phone,true,5.3
SUP-2000016,Account Management - UniServices,Account Management,Medium,Closed,2024-01-16 10:00:35,2024-01-19 21:48:11,2024-01-19 22:03:11,carlos.silva,Account Team,UniServices,Phone,false,
SUP-2000017,Data Export/Import - CityCouncil,Data Export/Import,Low,Closed,2024-01-01 02:15:43,2024-01-06 02:47:31,2024-01-06 03:42:31,carlos.silva,Technical Team,CityCouncil,Chat,false,
SUP-2000018,Data Export/Import - StartupXYZ,Data Export/Import,Medium,Closed,2024-01-12 09:30:14,2024-01-13 15:11:04,2024-01-13 15:33:04,carlos.silva,Technical Team,StartupXYZ,Chat,false,6.7
SUP-2000019,Billing Issue - Global Finance,Billing Issue,Medium,Closed,2024-01-08 09:36:31,2024-01-10 02:21:50,2024-01-10 02:54:50,sofia.moreau,Finance Support,Global Finance,Portal,false,7.4
SUP-2000020,Technical Support - Global Finance,Technical Support,Medium,Closed,2024-01-08 10:47:39,2024-01-14 07:13:28,2024-01-14 07:33:28,sofia.moreau,Technical Team,Global Finance,Chat,true,6.3
SUP-2000021,Feature Request - Individual,Feature Request,Critical,Closed,2024-01-12 11:23:04,2024-01-12 14:22:03,2024-01-12 15:11:03,maya.patel,Product Team,Individual,Chat,false,8.0
SUP-2000022,Data Export/Import - Global Finance,Data Export/Import,Low,Closed,2024-01-18 16:15:55,2024-01-20 10:04:28,2024-01-20 10:25:28,jennifer.wu,Technical Team,Global Finance,Portal,false,6.6
SUP-2000023,Integration Problem - Acme Corp,Integration Problem,High,Closed,2024-01-16 13:59:59,2024-01-17 04:35:21,2024-01-17 04:47:21,alex.chen,Integration Team,Acme Corp,Email,false,6.6
SUP-2000024,Billing Issue - Individual,Billing Issue,Medium,Closed,2024-01-17 10:40:34,2024-01-18 03:04:43,2024-01-18 03:54:43,laura.smith,Finance Support,Individual,Phone,false,
