incident_number,short_description,category,subcategory,priority,state,opened_at,resolved_at,closed_at,assigned_to,assignment_group,opened_by,contact_type,sla_breach,satisfaction_score
INC1000000,Email / Outlook - User request,Email / Outlook,Calendar issue,P2 - High,Open,2024-01-15 09:08:47,,,david.brown,Service Desk L1,Olivia.Scott,Email,false,
INC1000001,Software Installation - User request,Software Installation,Development Tools,P2 - High,Closed,2024-01-12 14:21:17,2024-01-12 18:25:12,2024-01-12 19:57:12,john.smith,Service Desk L1,Wendy.Chen,Chat,true,2.4
INC1000002,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-15 22:54:14,2024-01-16 08:43:31,2024-01-16 10:27:31,james.harris,Service Desk L2,Iris.Upton,Email,false,4.9
INC1000003,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-16 16:49:03,2024-01-16 19:08:28,2024-01-16 20:03:28,sarah.jones,Service Desk L2,Sam.Martin,Phone,false,5.0
INC1000004,Software Installation - User request,Software Installation,Microsoft Office,P1 - Critical,Closed,2024-01-14 11:05:48,2024-01-14 11:44:11,2024-01-14 12:58:11,james.harris,Hardware Team,David.Johnson,Chat,false,4.3
INC1000005,Hardware Issue - User request,Hardware Issue,Monitor,P3 - Medium,Closed,2024-01-17 20:48:11,2024-01-18 06:59:59,2024-01-18 07:34:59,james.harris,Service Desk L1,Bob.Hall,Email,false,2.6
INC1000006,Security Alert - User request,Security Alert,General,P4 - Low,Closed,2024-01-06 14:52:04,2024-01-07 16:17:41,2024-01-07 17:39:41,david.brown,Service Desk L1,Quinn.O'Brien,Phone,false,3.8
INC1000007,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-15 02:35:14,2024-01-15 03:16:52,2024-01-15 05:03:52,lisa.taylor,Network Team,Nathan.Nelson,Self-Service Portal,false,5.0
INC1000008,Hardware Issue - User request,Hardware Issue,Laptop,P4 - Low,Closed,2024-01-04 06:46:21,2024-01-05 03:29:02,2024-01-05 03:53:02,lisa.taylor,Security Team,Nathan.Park,Email,false,3.9
INC1000009,Network Connectivity - User request,Network Connectivity,WiFi,P3 - Medium,Closed,2024-01-05 08:00:24,2024-01-06 00:21:57,2024-01-06 01:47:57,mike.wilson,Service Desk L1,Quinn.Quinn,Phone,false,
